timestamp,endpoint,method,user_agent,ip_address,response_status,response_time_ms
2025-11-14T13:05:43.310742,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T13:05:53.792957,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T13:06:18.939791,/,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,0
2025-11-14T13:06:37.833640,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T13:09:40.875693,/api/v1/generate-api-key,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T13:10:05.606055,/api/v1/nonexistent-endpoint,GET,curl/8.7.1,127.0.0.1,404,0
2025-11-14T13:12:17.009667,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,1
2025-11-14T13:13:26.153013,/openapi,GET,curl/8.7.1,127.0.0.1,404,0
2025-11-14T13:13:36.233367,/openapi.json,GET,curl/8.7.1,127.0.0.1,200,8
2025-11-14T13:13:51.451129,/docs,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T13:14:49.552918,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T13:14:55.780989,/openapi,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,404,1
2025-11-14T13:14:55.854347,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T13:16:20.827937,//openapi,GET,curl/8.7.1,127.0.0.1,404,0
2025-11-14T13:16:28.185799,//openapi.json,GET,curl/8.7.1,127.0.0.1,404,0
2025-11-14T13:16:28.193568,//docs,GET,curl/8.7.1,127.0.0.1,404,0
2025-11-14T13:18:06.322592,//openapi,GET,curl/8.7.1,127.0.0.1,404,0
2025-11-14T13:18:12.152638,/openapi,GET,curl/8.7.1,127.0.0.1,404,0
2025-11-14T13:18:16.393496,/openapi.json,GET,curl/8.7.1,127.0.0.1,200,8
2025-11-14T13:18:30.734857,/api/v1//chat,POST,curl/8.7.1,127.0.0.1,404,0
2025-11-14T13:18:41.832718,/api/v1/chat,POST,curl/8.7.1,127.0.0.1,200,6127
2025-11-14T13:18:53.816247,//api//v1//generate-api-key,GET,curl/8.7.1,127.0.0.1,404,0
2025-11-14T13:19:10.399005,/api/v1/generate-api-key,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T13:19:19.642040,//openapi.json,GET,curl/8.7.1,127.0.0.1,404,0
2025-11-14T13:19:19.649385,/api/v1//chat,POST,curl/8.7.1,127.0.0.1,404,0
2025-11-14T13:19:19.655863,/health/,GET,curl/8.7.1,127.0.0.1,307,0
2025-11-14T13:19:19.662193,/api/v1/generate-api-key,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T13:19:19.669088,/docs,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T13:24:43.341066,/openapi,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,404,0
2025-11-14T13:24:43.399192,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T13:25:00.728146,/openapi,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,404,1
2025-11-14T13:25:00.800554,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T13:25:04.941025,/openapi.json,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,200,1
2025-11-14T13:25:05.021174,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T13:25:53.785257,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T13:26:00.992958,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T13:26:04.855737,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T13:27:32.237560,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T13:30:32.280330,/api/v1/generate-api-key,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T13:30:39.246908,/health,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T14:26:31.552836,/api/v1/document,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,404,0
2025-11-14T14:26:31.656023,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,1
2025-11-14T14:26:41.481029,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,1
2025-11-14T14:26:46.142032,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T14:26:49.097555,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,0
2025-11-14T14:31:52.285285,/api/v1/generate-api-key,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T14:34:29.295643,/api/v1/generate-api-key,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T14:38:53.234053,/favicon.ico,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,204,1
2025-11-14T14:42:07.212007,/health,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T14:42:15.467380,/api/v1/chat,POST,curl/8.7.1,127.0.0.1,401,1
2025-11-14T14:42:29.341924,/api/v1/chat,POST,curl/8.7.1,127.0.0.1,500,7443
2025-11-14T14:43:15.783659,//health,GET,curl/8.7.1,127.0.0.1,404,0
2025-11-14T14:43:23.569730,///health,GET,curl/8.7.1,127.0.0.1,404,0
2025-11-14T14:43:40.041183,/health,GET,curl/8.7.1,127.0.0.1,200,0
2025-11-14T14:44:13.786587,//api/v1/documents,GET,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",127.0.0.1,404,0
